"inspector_id","employee_no","name","phone","email","department","title","certification_level","join_date","is_active","created_at"
152,"YJ20210001","徐晓峰","15109056051","xuxf_99@139.com","药物分析室","副主任药师","高级资质","2025-12-18",True,"2025-11-11 10:24:12.697711"
153,"YJ20250001","朱伟杰","19369196536","zweijie@aliyun.com","仪器分析室","高级检验员","中级资质","2020-01-08",True,"2025-11-11 10:24:12.697711"
154,"YJ20250002","韩晓峰","19388861863","hanxiaofeng@aliyun.com","微生物检验科","高级检验师","专家级资质","2023-05-16",True,"2025-11-11 10:24:12.697711"
155,"YJ20220001","曹晓峰","18656178383","caoxf_2024@139.com","中成药检测科","高级检验员","初级资质","2022-10-18",True,"2025-11-11 10:24:12.697711"
156,"YJ20240001","黄伟","15822956274","hwang@aliyun.com","质量控制部","主管药师","专家级资质","2020-09-05",True,"2025-11-11 10:24:12.697711"
157,"YJ20240002","何晓峰","18294044887","hexf_2024@139.com","特殊药品检验科","助理药师","高级资质","2015-02-15",True,"2025-11-11 10:24:12.697711"
158,"YJ20220002","杨晓峰","17986257967","yangxiaofeng@aliyun.com","特殊药品检验科","高级检验师","初级资质","2017-06-12",True,"2025-11-11 10:24:12.697711"
159,"YJ20220003","胡睿","17846879131","hurui@yaodian.com","药品稳定性研究室","主管药师","高级资质","2025-11-09",True,"2025-11-11 10:24:12.697711"
160,"YJ20240003","高峰","19328613695","gao_feng123@163.com","仪器分析室","检验师","初级资质","2024-02-13",True,"2025-11-11 10:24:12.697711"
161,"YJ20200001","许晓峰","17019568964","xuxf_2024@139.com","质量控制部","主管药师","中级资质","2022-11-17",True,"2025-11-11 10:24:12.697711"
162,"YJ20240004","胡伟","19964243185","hwei@163.com","仪器分析室","主任药师","中级资质","2023-03-12",True,"2025-11-11 10:24:12.697711"
163,"YJ20250003","何睿哲","13769758803","he_rz99@139.com","特殊药品检验科","首席检验师","高级资质","2017-10-24",True,"2025-11-11 10:24:12.697711"
164,"YJ20250004","何伟强","15652521924","hewq_001@139.com","中成药检测科","检验员","初级资质","2020-12-03",False,"2025-11-11 10:24:12.697711"
165,"YJ20220004","唐文博","19827929375","twb.2024@163.com","临床药理科","高级检验员","中级资质","2019-09-05",True,"2025-11-11 10:24:12.697711"
166,"YJ20230001","林晓峰","13745924383","linxf_2024@139.com","药品稳定性研究室","高级检验员","初级资质","2021-12-22",True,"2025-11-11 10:24:12.697711"
167,"YJ20240005","胡晓峰","19684769526","huxf@yaodian.com","药品稳定性研究室","高级检验员","高级资质","2025-04-10",True,"2025-11-11 10:24:12.697711"
168,"YJ20230002","韩雅婷","19489679423","yating.han@aliyun.com","药物分析室","检验员","高级资质","2022-09-16",False,"2025-11-11 10:24:12.697711"
169,"YJ20240006","宋慧","17566057033","songhui_expert@yaodian.com","中成药检测科","副主任药师","专家级资质","2017-12-23",True,"2025-11-11 10:24:12.697711"
170,"YJ20200002","吴涛","13074006150","wutao.expert@aliyun.com","质量控制部","高级检验师","专家级资质","2023-11-27",True,"2025-11-11 10:24:12.697711"
171,"YJ20200003","宋文博","15373228042","songwb@aliyun.com","临床药理科","主任药师","高级资质","2017-03-23",True,"2025-11-11 10:24:12.697711"
172,"YJ20240007","罗文杰","17811754073","luowenjie88@163.com","质量控制部","首席检验师","中级资质","2018-05-22",True,"2025-11-11 10:24:12.697711"
173,"YJ20210002","许宁","17595847181","xuning@yaodian.com","中成药检测科","高级检验师","初级资质","2024-01-08",True,"2025-11-11 10:24:12.697711"
174,"YJ20210003","孙伟","19532768004","swwei_expert@aliyun.com","药物分析室","药师","专家级资质","2016-11-01",True,"2025-11-11 10:24:12.697711"
175,"YJ20200004","高伟杰","19690138709","gaojj_2024@139.com","仪器分析室","高级检验员","初级资质","2021-07-21",True,"2025-11-11 10:24:12.697711"
176,"YJ20210004","黄敏","13481861780","huamin_007@139.com","中成药检测科","药师","中级资质","2015-09-14",True,"2025-11-11 10:24:12.697711"
177,"YJ20240008","徐伟强","15358299219","xwq_2024@139.com","中成药检测科","主管药师","高级资质","2016-11-03",True,"2025-11-11 10:24:12.697711"
178,"YJ20240009","谢婉婷","18439661282","xiewt_2024@139.com","中药鉴定室","检验员","高级资质","2025-06-21",True,"2025-11-11 10:24:12.697711"
179,"YJ20240010","萧睿","15608961358","xiao.rui.expert@yaodian.com","药品稳定性研究室","首席检验师","专家级资质","2023-05-10",True,"2025-11-11 10:24:12.697711"
180,"YJ20210005","郭晓峰","18224614456","guoxf@aliyun.com","微生物检验科","首席检验师","高级资质","2023-09-13",True,"2025-11-11 10:24:12.697711"
181,"YJ20200005","赵晓峰","18351986944","zhaoxf_99@139.com","特殊药品检验科","高级检验员","专家级资质","2022-01-08",False,"2025-11-11 10:24:12.697711"
182,"YJ20200006","陈文杰","19379755195","chenwj_001@139.com","中成药检测科","主任药师","中级资质","2019-03-20",True,"2025-11-11 10:24:12.697711"
183,"YJ20240011","萧子涵","13479595662","xiao.zihan@aliyun.com","仪器分析室","主任药师","专家级资质","2020-01-20",True,"2025-11-11 10:24:12.697711"
184,"YJ20210006","郭伟","19499911209","gwwei@139.com","微生物检验科","助理药师","中级资质","2019-04-27",True,"2025-11-11 10:24:12.697711"
185,"YJ20210007","许伟峰","18086780144","xwfeng@aliyun.com","仪器分析室","副主任药师","专家级资质","2025-02-01",True,"2025-11-11 10:24:12.697711"
186,"YJ20200007","林晓峰","15732261797","linxf_2024@139.com","中药鉴定室","主管药师","中级资质","2017-01-03",True,"2025-11-11 10:24:12.697711"
187,"YJ20240012","韩睿","17466301141","hrui@yaodian.com","中成药检测科","主管药师","专家级资质","2019-10-08",True,"2025-11-11 10:24:12.697711"
188,"YJ20200008","吴晓峰","18196652745","wuxf_2024@139.com","仪器分析室","高级检验员","初级资质","2024-11-16",True,"2025-11-11 10:24:12.697711"
189,"YJ20200009","王琳","13752406070","wanglin_001@163.com","微生物检验科","副主任药师","初级资质","2020-11-22",True,"2025-11-11 10:24:12.697711"
190,"YJ20230003","邓伟峰","13990623068","dengwf_2024@163.com","微生物检验科","高级检验员","高级资质","2023-03-21",True,"2025-11-11 10:24:12.697711"
191,"YJ20250005","梁晓峰","18645352722","liangxf_99@139.com","药品检验科","助理药师","专家级资质","2025-09-18",True,"2025-11-11 10:24:12.697711"
192,"YJ20230004","许伟","19591698954","xw_2024@139.com","临床药理科","检验员","高级资质","2017-02-26",True,"2025-11-11 10:24:12.697711"
193,"YJ20230005","周敏","18049355044","zhoumin_001@139.com","中药鉴定室","首席检验师","初级资质","2016-05-04",True,"2025-11-11 10:24:12.697711"
194,"YJ20240013","李伟强","19754530917","liweiqiang_99@139.com","中成药检测科","检验师","高级资质","2022-12-10",True,"2025-11-11 10:24:12.697711"
195,"YJ20220005","何伟强","18498530493","hqweiqiang@aliyun.com","药品检验科","检验员","高级资质","2020-05-02",True,"2025-11-11 10:24:12.697711"
196,"YJ20240014","周晓峰","15688399010","zhouxf_2024@139.com","仪器分析室","药师","中级资质","2020-08-20",True,"2025-11-11 10:24:12.697711"
197,"YJ20230006","孙晓峰","18188186500","xiao.feng.sun@yaodian.com","特殊药品检验科","高级检验员","专家级资质","2016-07-01",True,"2025-11-11 10:24:12.697711"
198,"YJ20230007","罗晓峰","19941973914","luoxf_2024@139.com","临床药理科","副主任药师","初级资质","2022-05-11",True,"2025-11-11 10:24:12.697711"
199,"YJ20250006","罗文博","17509202839","luowb@aliyun.com","仪器分析室","主任药师","高级资质","2017-05-17",False,"2025-11-11 10:24:12.697711"
200,"YJ20210008","王晓峰","17420004552","wangxf_2024@139.com","仪器分析室","首席检验师","中级资质","2020-05-22",True,"2025-11-11 10:24:12.697711"
201,"YJ20230008","罗晓峰","15437596901","luoxf_2024@139.com","药物分析室","检验师","初级资质","2022-02-03",False,"2025-11-11 10:24:12.697711"
202,"YJ20230009","唐晓峰","15958974077","tangxf_2024@139.com","药物分析室","副主任药师","专家级资质","2020-12-22",True,"2025-11-11 10:24:12.697711"
203,"YJ20230010","韩晓峰","18621544791","hanxiaofeng123@163.com","中成药检测科","药师","初级资质","2018-01-23",True,"2025-11-11 10:24:12.697711"
204,"YJ20250007","陈晓峰","18471933537","chenxf_2024@139.com","微生物检验科","首席检验师","中级资质","2018-10-18",True,"2025-11-11 10:24:12.697711"
205,"YJ20220006","林晓峰","13266773133","linxf_2024@139.com","特殊药品检验科","主管药师","高级资质","2018-07-09",True,"2025-11-11 10:24:12.697711"
